0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
146.794,43.971,17.735,126.235,30.265,43.441,B2,select word,rare
58.853,38.294,9.676,17.735,31.441,17.735,B2,select word,rare
64.529,17.735,4.029,2.824,23.412,2.824,B2,select word,rare
17.735,23.412,45.147,23.412,4.029,18.265,B2,select word,rare
229.059,2.824,31.441,28.029,30.265,38.824,B2,select word,rare
146.794,79.441,50.824,105.676,4.029,2.824,B2,select word,rare
100.0,167.353,4.029,2.824,4.029,18.265,B2,select word,rare
17.735,64.529,37.118,13.118,57.676,28.029,B2,select word,rare
146.794,38.294,72.588,38.294,24.588,7.971,B2,select word,rare
105.676,58.853,58.853,28.029,57.676,2.824,B2,select word,rare
100.0,38.294,37.118,2.824,4.029,7.441,B2,select word,rare
17.735,38.294,23.412,38.294,45.147,2.824,B2,select word,rare
58.853,2.824,31.441,58.853,38.294,13.118,B2,select word,rare
17.735,85.088,4.029,54.265,16.559,48.588,B2,select word,rare
58.853,43.971,17.735,17.735,16.559,13.118,B2,select word,rare
58.853,23.412,58.853,28.029,9.676,33.147,B2,select word,rare
100.0,23.412,45.147,2.824,16.559,59.382,B2,select word,rare
105.676,105.676,4.029,23.412,16.559,18.265,B2,select word,rare
17.735,23.412,4.029,17.735,31.441,28.029,B2,select word,rare
146.794,58.853,23.412,17.735,50.824,43.441,B2,select word,rare
64.529,17.735,31.441,23.412,31.441,18.265,B2,select word,rare
64.529,17.735,37.118,23.412,38.294,7.441,B2,select word,rare
100.0,85.088,133.088,58.853,31.441,49.118,B2,select word,rare
17.735,146.794,86.294,54.265,10.882,2.294,B2,select word,rare
17.735,43.971,105.676,23.412,17.735,2.824,B2,select word,rare
58.853,58.853,45.147,38.294,31.441,13.118,B2,select word,rare
100.0,64.529,45.147,28.029,10.882,53.735,B2,select word,rare
270.206,58.853,45.147,33.676,10.882,2.294,B2,select word,rare
58.853,167.353,45.147,69.147,64.529,33.147,B2,select word,rare
