0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
2.899,0.894,8.049,6.658,3.041,0.388,B1,30 seconds
4.679,15.282,8.473,8.279,2.25,1.257,B1,30 seconds
8.968,3.301,2.729,1.797,1.853,1.845,B1,30 seconds
7.866,10.379,8.148,9.69,3.381,1.895,B1,30 seconds
1.721,5.611,2.687,1.585,1.805,0.958,B1,30 seconds
8.544,3.323,3.21,4.475,0.965,0.656,B1,30 seconds
18.24,8.586,3.591,10.218,6.729,0.582,B1,30 seconds
6.586,9.002,6.445,5.747,5.83,0.886,B1,30 seconds
19.096,0.259,12.217,2.411,6.699,3.625,B1,30 seconds
5.865,10.281,10.536,1.14,0.131,0.658,B1,30 seconds
6.086,10.336,4.34,1.892,1.191,0.693,B1,30 seconds
14.045,3.238,11.573,4.232,2.595,3.368,B1,30 seconds
15.537,12.888,8.422,7.908,3.006,3.09,B1,30 seconds
2.102,5.005,0.766,3.469,6.672,2.425,B1,30 seconds
26.386,11.099,1.593,2.77,0.682,2.724,B1,30 seconds
0.449,4.128,3.944,8.703,4.419,0.282,B1,30 seconds
6.883,6.933,7.052,10.43,3.902,1.143,B1,30 seconds
1.543,2.517,6.332,6.7,4.574,4.406,B1,30 seconds
7.103,5.259,0.802,4.804,2.524,1.32,B1,30 seconds
4.128,2.738,2.079,4.965,4.891,2.378,B1,30 seconds
1.0,9.625,4.82,10.453,2.108,6.589,B1,30 seconds
7.739,11.68,11.912,1.636,0.421,1.737,B1,30 seconds
11.807,7.73,2.63,2.019,4.375,0.651,B1,30 seconds
7.315,7.251,1.034,3.818,0.215,3.098,B1,30 seconds
6.34,6.586,2.017,0.227,2.695,0.123,B1,30 seconds
11.036,3.67,4.786,4.816,1.283,1.292,B1,30 seconds
5.789,14.193,0.958,12.244,7.816,0.91,B1,30 seconds
8.713,11.362,6.204,3.905,4.066,1.294,B1,30 seconds
0.271,5.95,1.043,4.753,0.709,1.415,B1,30 seconds
